# 
# 
# 
# 
simple_annotation	CLASS	Sample	scan
AD043	ADENO	AD043T2_A7_1	CL2001032638AA
AD1	ADENO	ADA1T1_A383_7	CL2001042506AA
AD10	ADENO	ADA10T1_A389_7	CL2001032716AA
AD111	ADENO	AD111T2_A8_1	CL2001032233AA
AD114	ADENO	AD114T1_A9_1	CL2001032603AA
AD114	ADENO	AD114T2_A10_1	CL2001032019AA
AD115	ADENO	AD115T1_A12_1	CL2001032624AA
AD115	ADENO	AD115T2_A245_10	CL2001032107AA
AD118	ADENO	AD118T1_A13_1	CL2001032020AA
AD119	ADENO	AD119T3_A195_8	CL2001032845AA
AD120	ADENO	AD120T1_A226_8	CL2001032739AA
AD120	ADENO	AD120T2_A196_8	CL2001032730AA
AD122	ADENO	AD122T3_A197_8	CL2001032856AA
AD123	ADENO	AD123T1_A25_1	CL2001032643AA
AD123	ADENO	AD123T2_A198_8	CL2001042502AA
AD127	ADENO	AD127T1_A14_1	CL2001032241AA
NL1179	NORMAL	NL1179_A408_7	CL2001032147AA
NL1675	NORMAL	NL1675_A409_7	CL2001032206AA
NL1698	NORMAL	NL1698_A410_7	CL2001032718AA
NL1884	NORMAL	NL1884_A411_7	CL2001032041AA
NL2378	NORMAL	NL2378_A412_7	CL2001032128AA
NL2562	NORMAL	NL2562_A413_7	CL2001032202AA
NL268n1	NORMAL	NL268n1_A92_3	CL2001032256AA
NL279n1	NORMAL	NL279n1_A98_3	CL2001032010AA
NL3104	NORMAL	NL3104_A331_6	CL2001032727AA
NL3681	NORMAL	NL3681_A332_6	CL2001032102AA
NL4083	NORMAL	NL4083_A333_6	CL2001032046AA
NL4353	NORMAL	NL4353_A334_6	CL2001032043AA
NL504	NORMAL	NL504_A407_7	CL2001032304AA
NL6084	NORMAL	NL6084_A335_6	CL2001032045AA
NL6853	NORMAL	NL6853_A336_6	CL2001032725AA
NL6943	NORMAL	NL6943_A337_6	CL2001032220AA
NL7530	NORMAL	NL7530_A338_6	CL2001032724AA
