"FerrariID","Symbol","description","fold change","sr_adeno","sr_normal","statystyka t","p-value","corrected p-value"
"GC06M100037_at","CCNC","cyclin C","1.07231358502036","4.59284980641335","4.28312190629027","4.84511672274285","0.000101536103410665","0.00108819125149133"
"GC11P066360_at","CCS","copper chaperone for superoxide dismutase","1.03443753425754","8.09537209225527","7.82586847843417","4.78050951028864","0.000101703870922302","0.00108864525706104"
"GC19M045912_at","ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)","1.03923493032753","7.74408890580603","7.45172114582921","4.83251790314963","0.000102005368547326","0.00108971206348407"
"GC12M069244_at","CPM","carboxypeptidase M","0.911070012342633","4.73416801767185","5.19627246373623","-4.77506170079606","0.000102054591361888","0.00108971206348407"
"GC06P037321_at","RNF8","ring finger protein 8","0.959092973257557","5.60187820690938","5.8408083085862","-4.72777050694301","0.000102543603232703","0.00109358847624458"
"GC04M110968_at","ELOVL6","ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)","1.09997413673505","3.91078517129731","3.55534284006469","5.43252708174189","0.000104085606926708","0.00110867135427087"
"GC19M002321_at","LSM7","LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)","1.05868124709071","7.8246657857848","7.39095531094675","4.72061905232321","0.000104337583365127","0.00110999333479494"
"GC01M078161_at","USP33","ubiquitin specific peptidase 33","0.88206253608691","6.05826098083583","6.86828964271861","-5.1309471377214","0.00010467071563751","0.00111081747529749"
"GC08M145707_at",NA,NA,"1.05296358869692","7.14271234460194","6.7834371684602","4.79203036751864","0.000104670970486505","0.00111081747529749"
"GC06P027782_at","HIST1H2BM","histone cluster 1, H2bm","1.06136232965277","5.51777932212453","5.19877064407376","4.8393134383038","0.000105019166292223","0.00111315187128545"
